Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Ярема;Геннадій;Максимович;Чоловіча;1950-06-16;Вчитель;місто Виноградів;вулиця Бузкова, буд. 532, Заставна, 20481;016 096-63-92;davymukahlib@example.com
Кармалюк;Ірена;Амаліяівна;Жіноча;1957-12-19;Няня;місто Знам'янка;провулок Зої Космодем’янської, буд. 343, Стебник, 38260;+380 20 024-46-20;marusiaiakymenko@example.net
Прокопович;Олесь;Артемович;Чоловіча;1949-07-10;Ріелтор;хутір Люботин;узвіз Тепличний 1-й, буд. 1 кв. 66, Старий Самбір, 53826;+380 74 065 19 13;hrytsenkodanna@example.net
Демиденко;Вікторія;Одаркаівна;Жіноча;1946-10-29;Машиніст;місто Перевальськ;сквер Пржевальського, буд. 2 кв. 1, Голубівка, 45615;+380 40 592-47-29;khuz@example.net
Ґерета;Амалія;Богданнаівна;Жіноча;1979-05-22;Кухар;місто Христинівка;площа Лермонтовський, буд. 9 кв. 886, Надвірна, 90506;+380 23 769 53 02;frantsmykhaliuk@example.org
Дуплій;Едуард;Кирилоович;Чоловіча;1979-10-20;Конструктор;місто Полтава;провулок Сирітський, буд. 5, Світлодарськ, 67816;+380 69 578-11-86;danyloholyk@example.com
Вишняк;Дан;Миколайович;Чоловіча;1971-10-23;Кур'єр;село Олександрівськ;узвіз Костанді 2-й, буд. 26 кв. 5, Інкерман, 92958;+380 21 936 35 78;demian06@example.org
Ткаченко;Владислав;Вікторович;Чоловіча;1992-05-06;Державний службовець;селище Українка ;набережна Лінія 31-ша, буд. 881 кв. 461, Гуляйполе, 07890;+380 66 004-65-82;avramenkosymon@example.com
Чередник;Василь;Захарович;Чоловіча;1997-11-08;Бізнесмен;село Стебник;узвіз Овідіопольська дорога, буд. 2, Коломия, 65642;+380 35 536-00-55;zhuravelillia@example.net
Охримович;Соломон;Францович;Чоловіча;2000-05-16;Ветеринар;хутір Умань;провулок Дідріхсона, буд. 47 кв. 941, Сновськ, 63515;764 25 74;pavlo00@example.org
Мірошниченко;Феофан;Єфремович;Чоловіча;1997-01-03;Єгер;хутір Звенигородка;набережна Болградська, буд. 57, Валки , 60011;594 19 05;stanislavkorbut@example.net
Влох;Роксолана;Софіяівна;Жіноча;1945-02-23;Гінеколог;місто Хотин;проспект Пушкінська, буд. 127, Чигирин, 27026;030 992-23-63;adamenkoviktoriia@example.com
Дубина;Анжела;Віраівна;Жіноча;1960-06-22;Кухар;село Кам'янка-Дніпровська;площа Гена Іоганна, буд. 63, Канів, 39840;+380 87 727-42-67;borysskorobohatko@example.org
Сірченко;Пріска;Ярославаівна;Жіноча;1953-08-07;Громадський діяч;селище Балта;проспект Трояндова, буд. 46 кв. 5, Шпола, 15733;+380 12 602 41 76;ivan19@example.net
Джунь;Данна;Віолеттаівна;Жіноча;1984-11-06;Науковець;селище Радомишль;площа Степний 2-й, буд. 050, Селидове, 22206;+380 92 425-78-76;emiliiaopanasenko@example.org
Бандурка;Єлисавета;Вікторіяівна;Жіноча;1955-10-21;Дантист;селище Боярка;шосе Капітана Кузнецова, буд. 53, Вознесенівка, 02911;023 865 26 32;hlib86@example.com
Забарна;Ада;Соломіяівна;Жіноча;1965-06-25;Гінеколог;село Голубівка;сквер Красних Зорь, буд. 782, Роздільна, 98575;120 12 46;ihor82@example.com
Гаврилишин;Климент;Лесьович;Чоловіча;1982-03-13;Єгер;місто Першотравенськ;вулиця Каштанова, буд. 286, Київ, 69209;017 913 40 81;kolesnychenkobohdan@example.net
